emp_id,first_name,last_name,dob,addr1,addr2,city,latitude,longitude,state,zip,home_phone,mobile,pager,home_email,job_title,hire_date,work_phone,work_email,reports_to,dept_num
15,Louis,Palmer,1977-12-15,7 Pearson Avenue,,Fairfax,38.7351,-77.0796,VA,22036,1-(571)858-7399,1-(513)552-7496,,,Speech Pathologist,2008-04-20,1-(812)678-5788,Louis.Palmer@foo.com,1,4
16,Harold,Garcia,1983-04-08,9 Autumn Leaf Parkway,,Asheville,35.6004,-82.4918,NC,28805,1-(828)555-6859,1-(309)934-8302,,,Clinical Specialist,2010-05-16,1-(540)950-8160,Harold.Garcia@foo.com,4,1
17,Ashley,Carr,1976-12-24,2106 Golf Course Avenue,#1,Boston,42.3253,-71.1122,MA,02163,1-(857)225-5075,1-(330)835-3054,,,Assistant Media Planner,2011-01-12,1-(865)460-8523,Ashley.Carr@foo.com,3,5
18,Rebecca,Oliver,1959-03-27,56678 Mayer Lane,Suite 210,San Francisco,37.7848,-122.7278,CA,94169,1-(415)146-5125,1-(262)890-9697,,,Speech Pathologist,2008-05-13,1-(334)959-2974,Rebecca.Oliver@foo.com,5,2
19,Douglas,Webb,1992-04-15,5422 Linden Road,,Huntington,38.4134,-82.2774,WV,25770,1-(304)198-0603,1-(937)432-8371,,,Teacher,2006-04-26,1-(786)187-0030,Douglas.Webb@foo.com,3,5
20,Jeffrey,Coleman,1979-12-24,16778 Vidon Point,,Milwaukee,43.1154,-88.0346,WI,53225,1-(414)991-6069,1-(225)181-2395,,,Programmer II,2015-09-06,1-(214)489-2911,Jeffrey.Coleman@foo.com,5,4
21,Melissa,Andrews,1977-06-30,5074 Sommers Avenue,,Bronx,40.8247,-73.894,NY,10459,1-(917)842-4333,1-(310)135-4468,,,Technical Writer,2012-09-17,1-(540)127-6392,Melissa.Andrews@foo.com,5,5
22,Diane,Spencer,1982-10-02,17 Lunder Avenue,,Tulsa,36.1398,-96.0297,OK,74184,1-(918)359-3268,1-(702)603-8600,,,Pharmacist,2007-06-10,1-(808)548-4676,Diane.Spencer@foo.com,1,3
23,Debra,Turner,1966-10-08,87719 Atwood Place,Apt. B,Washington,38.8933,-77.0146,DC,20591,1-(202)319-2319,1-(214)143-0071,,,Recruiting Manager,2006-03-19,1-(602)700-3584,Debra.Turner@foo.com,2,2
24,Teresa,Thompson,1959-02-02,27518 Muir Parkway,Suite 210,Stockton,38.01,-121.3698,CA,95219,1-(209)202-5405,1-(312)718-5925,,,Senior Developer,2011-01-08,1-(859)759-8650,Teresa.Thompson@foo.com,2,4
25,Christopher,Smith,1957-06-13,05 Eliot Crossing,,Bronx,40.8702,-73.8495,NY,10469,1-(917)118-7196,1-(662)636-3474,,,Director of Sales,2006-03-25,1-(210)413-8500,Christopher.Smith@foo.com,1,3
26,Andrea,Knight,1966-08-29,8 3rd Alley,,Orange,33.7915,-117.714,CA,92862,1-(714)824-4968,1-(509)245-2336,,,Geologist IV,2012-12-17,1-(706)732-9273,Andrea.Knight@foo.com,1,2
27,Heather,Oliver,1967-06-19,3466 Hoepker Lane,,Irving,32.7673,-96.7776,TX,75037,1-(214)272-6193,1-(513)218-7916,,,Assistant Media Planner,2007-12-11,1-(402)723-3865,Heather.Oliver@foo.com,5,4
28,Catherine,Jackson,1969-03-10,581 Chive Center,,Houston,29.9781,-95.5803,TX,77070,1-(281)163-9706,1-(704)217-1025,,,Director of Sales,2007-09-11,1-(865)921-7546,Catherine.Jackson@foo.com,3,3
29,Brandon,Dunn,1976-05-24,27794 Jay Junction,,Saint Louis,38.6531,-90.2435,MO,63150,1-(314)207-8207,1-(253)731-3312,,,Structural Engineer,2015-03-30,1-(239)119-6580,Brandon.Dunn@foo.com,2,5
30,Kelly,Grant,1976-11-05,612 Mockingbird Court,,San Diego,33.0169,-116.846,CA,92191,1-(619)773-6339,1-(785)732-0975,,,Sales Associate,2014-11-01,1-(409)184-9029,Kelly.Grant@foo.com,5,4
31,William,Mccoy,1975-01-21,6 Prairie Rose Point,,Riverside,33.9228,-117.4867,CA,92505,1-(909)837-0057,1-(713)445-3983,,,Speech Pathologist,2005-12-11,1-(478)503-6824,William.Mccoy@foo.com,4,2
32,Earl,Hamilton,1951-01-23,0 Schiller Parkway,,Saint Louis,38.6185,-90.2564,MO,63110,1-(314)227-5438,1-(610)347-6873,,,Software Test Engineer I,2015-06-08,1-(214)618-6416,Earl.Hamilton@foo.com,4,2
33,Lawrence,Garcia,1988-05-22,2 Nancy Plaza,,Dallas,32.7673,-96.7776,TX,75397,1-(214)326-7150,1-(602)215-0378,,,Programmer III,2006-06-20,1-(210)937-6608,Lawrence.Garcia@foo.com,3,2
34,Kathleen,Powell,1958-09-23,7048 Sundown Court,#2,Dayton,39.6749,-84.1136,OH,45440,1-(937)787-8152,,,,Accounting Assistant I,2006-12-14,1-(254)761-0483,Kathleen.Powell@foo.com,5,2
35,Michael,Hansen,1974-12-31,9334 Tennessee Center,,Shreveport,32.6076,-93.7526,LA,71137,1-(318)945-1755,1-(605)571-3316,,,Research Assistant I,2009-02-11,1-(786)821-3877,Michael.Hansen@foo.com,1,3
36,Clarence,Allen,1957-12-15,71 Nelson Drive,,Pinellas Park,27.8402,-82.7125,FL,34665,1-(850)681-8121,1-(916)247-0777,,,Electrical Engineer,2014-12-19,1-(937)980-3636,Clarence.Allen@foo.com,5,5
37,Jimmy,Ellis,1981-06-28,1 Corscot Park,,Orlando,28.5469,-81.2571,FL,32825,1-(407)149-3242,1-(618)960-2583,,,Occupational Therapist,2009-09-12,1-(305)533-2458,Jimmy.Ellis@foo.com,2,4
38,Wanda,Thomas,1962-05-14,337 7th Place,,Las Vegas,36.2471,-115.221,NV,89130,1-(702)147-4827,1-(951)182-7007,,,Data Coordiator,2012-10-13,1-(850)489-9722,Wanda.Thomas@foo.com,5,2
39,Aaron,Brown,1979-08-11,616 Boyd Park,,Salem,44.8685,-123.0438,OR,97306,1-(503)344-3715,1-(504)667-2771,,,Media Manager III,2015-04-14,1-(619)234-5126,Aaron.Brown@foo.com,5,4
40,Denise,Williams,1959-12-21,5692 Monument Park,,Van Nuys,34.2006,-118.4868,CA,91406,1-(310)320-4630,1-(503)980-3125,,,Teacher,2006-11-06,1-(214)350-3219,Denise.Williams@foo.com,3,2
41,Samuel,Richards,1992-07-10,5292 Old Gate Parkway,Floor 2,Atlanta,33.9982,-84.3411,GA,30358,1-(404)654-6528,1-(901)150-9893,,,Automation Specialist IV,2012-03-05,1-(775)663-2719,Samuel.Richards@foo.com,3,3
42,Gloria,Moore,1968-08-03,4 Kennedy Drive,#1,Indianapolis,39.7038,-86.3029,IN,46231,1-(317)403-4418,1-(305)195-9794,,,Staff Accountant I,2008-01-09,1-(571)555-0954,Gloria.Moore@foo.com,2,2
43,Donna,Burke,1958-01-30,879 Bartillon Park,,Sacramento,38.3774,-121.4444,CA,94273,1-(916)954-8674,,,,Automation Specialist I,2015-03-24,1-(504)178-7766,Donna.Burke@foo.com,345,3
44,Adam,Jackson,1965-09-05,6 Crowley Street,,Greensboro,36.0807,-80.0244,NC,27499,1-(336)846-5437,1-(508)975-3296,,,Payment Adjustment Coordinator,2015-09-30,1-(775)939-8888,Adam.Jackson@foo.com,1,1
45,Cheryl,West,1959-09-05,70537 Stoughton Center,,Phoenix,33.4724,-112.1832,AZ,85035,1-(602)819-5213,1-(917)233-9414,,,Account Executive,2014-02-01,1-(952)333-4336,Cheryl.West@foo.com,2,5
46,Lisa,Fernandez,1954-11-18,4 Golf Parkway,,Erie,42.1827,-80.0649,PA,16565,1-(814)144-5248,1-(916)541-2618,,,Social Worker,2008-11-12,1-(915)174-4549,Lisa.Fernandez@foo.com,2,1
47,Walter,Riley,1961-02-10,76 Oakridge Parkway,,Denver,39.7002,-105.0028,CO,80223,1-(720)591-9215,,,,Nurse Practicioner,2007-12-02,1-(720)277-8265,Walter.Riley@foo.com,5,3
48,Albert,Hawkins,1961-10-16,5 Browning Avenue,,El Paso,31.6948,-106.3,TX,79923,1-(915)584-1890,1-(718)235-3374,,,Product Engineer,2013-04-21,1-(516)890-1452,Albert.Hawkins@foo.com,1,5
49,Evelyn,Romero,1987-03-26,3 Westridge Parkway,,Saint Louis,38.6171,-90.4504,MO,63131,1-(636)852-0860,1-(202)823-0397,,,Tax Accountant,2008-02-09,1-(770)705-8523,Evelyn.Romero@foo.com,2,1
50,Nancy,Long,1956-08-16,7 Brown Way,,White Plains,41.119,-73.733,NY,10633,1-(845)895-0658,1-(216)467-9920,,,Design Engineer,2014-02-11,1-(626)130-6513,Nancy.Long@foo.com,3,3
51,Cheryl,Coleman,1956-01-15,850 Alpine Parkway,,Albany,42.6149,-73.9708,NY,12232,1-(518)835-7280,1-(706)345-7592,,,Marketing Assistant,2012-03-05,1-(813)154-9075,Cheryl.Coleman@foo.com,1,3
52,Barbara,Baker,1976-02-12,2361 Grim Pass,,San Diego,33.0169,-116.846,CA,92153,1-(619)570-6222,1-(260)298-7987,,,Technical Writer,2007-04-05,1-(917)674-1121,Barbara.Baker@foo.com,5,3
53,Clarence,Stevens,1953-11-06,790 Boyd Junction,Apt. A,Flint,43.0113,-83.7108,MI,48555,1-(810)155-1395,1-(832)783-6177,,,Web Developer III,2008-08-04,1-(301)219-8013,Clarence.Stevens@foo.com,4,4
54,Louise,Burton,1987-11-15,662 Trailsway Alley,,Chicago,41.8119,-87.6873,IL,60663,1-(312)510-7926,1-(361)476-4670,,,Electrical Engineer,2012-03-11,1-(612)741-4948,Louise.Burton@foo.com,1,5
55,Margaret,Rivera,1967-06-01,3 Orin Alley,,Omaha,41.2335,-96.1188,NE,68144,1-(402)893-8038,,,,Actuary,2006-05-24,1-(501)275-5833,Margaret.Rivera@foo.com,3,1
56,Larry,Mcdonald,1964-07-10,3756 Lawn Plaza,,Lincoln,40.9317,-96.6045,NE,68517,1-(402)361-1412,1-(650)229-7629,,,Business Systems Development Analyst,2006-10-08,1-(917)181-9904,Larry.Mcdonald@foo.com,4,2
57,Linda,Burns,1993-06-10,2 Eliot Pass,,Dallas,32.7699,-96.743,TX,75210,1-(972)477-7604,1-(215)714-3051,,,Help Desk Technician,2012-04-25,1-(212)818-8964,Linda.Burns@foo.com,5,5
58,Anna,Oliver,1989-10-07,24359 Bobwhite Lane,,Brooklyn,40.6281,-73.9467,NY,11210,1-(347)489-9134,1-(361)285-8619,,,Physical Therapy Assistant,2010-06-27,1-(813)862-6716,Anna.Oliver@foo.com,3,2
59,Linda,Parker,1955-07-29,84017 Hermina Park,,Washington,38.945,-77.0364,DC,20022,1-(202)990-3464,1-(850)345-5448,,,Accounting Assistant I,2012-02-07,1-(309)381-4598,Linda.Parker@foo.com,4,2
60,Judith,Robertson,1968-11-17,97649 Hayes Drive,,Worcester,42.2894,-71.7888,MA,01605,1-(508)298-2293,1-(305)847-0864,,,Quality Control Specialist,2011-12-31,1-(818)708-4257,Judith.Robertson@foo.com,2,5
61,Deborah,Peters,1972-03-03,8 Glendale Plaza,,Sacramento,38.6026,-121.4475,CA,95813,1-(916)382-7206,1-(843)464-5380,,,Assistant Manager,2012-07-26,1-(212)412-8254,Deborah.Peters@foo.com,2,2
62,Lawrence,Ellis,1954-09-23,08192 Stephen Junction,#3,Van Nuys,34.1781,-118.4574,CA,91411,1-(213)739-5766,1-(203)106-7194,,,Web Developer II,2015-04-23,1-(651)885-9094,Lawrence.Ellis@foo.com,5,3
63,Bobby,Wright,1987-04-18,32 Lindbergh Hill,,Philadelphia,40.0422,-75.0244,PA,19136,1-(215)415-5951,1-(202)375-3730,,,Research Associate,2006-04-24,1-(309)409-5096,Bobby.Wright@foo.com,2,2
64,Willie,Crawford,1973-11-30,818 Oriole Street,,Sparks,39.6269,-119.7081,NV,89436,1-(775)188-9617,1-(585)479-2399,,,Technical Writer,2013-01-01,1-(937)697-7780,Willie.Crawford@foo.com,2,4
65,Laura,Stone,1974-05-16,0222 Kim Avenue,,El Paso,31.7674,-106.4304,TX,79905,1-(915)769-5957,,,,Operator,2008-10-20,1-(330)332-5912,Laura.Stone@foo.com,3,4
66,Linda,Harper,1961-04-08,53 Thompson Way,,Washington,38.8933,-77.0146,DC,20215,1-(202)473-6552,1-(412)280-3833,,,Compensation Analyst,2011-07-15,1-(765)120-3186,Linda.Harper@foo.com,1,5
67,Andrew,Scott,1980-01-19,997 Russell Pass,Suite 210,Minneapolis,45.0242,-93.302,MN,55412,1-(952)301-9459,1-(941)739-5232,,,Chemical Engineer,2013-01-11,1-(319)384-6627,Andrew.Scott@foo.com,5,4
68,Teresa,Ruiz,1974-01-24,6710 Division Park,,Austin,30.3264,-97.7713,TX,78778,1-(512)132-8879,1-(203)102-7052,,,Nuclear Power Engineer,2009-09-08,1-(309)317-7310,Teresa.Ruiz@foo.com,2,1
69,Aaron,Gardner,1966-09-22,997 Hansons Parkway,Apt. B,Berkeley,37.8571,-122.25,CA,94705,1-(510)853-7412,1-(907)646-8130,,,Librarian,2007-06-03,1-(808)360-2138,Aaron.Gardner@foo.com,1,1
70,Wayne,Wallace,1975-11-09,1654 Merry Way,Suite 210,Garden Grove,33.783,-118.0256,CA,92645,1-(714)477-4874,1-(432)570-9471,,,Engineer IV,2014-03-31,1-(260)545-6894,Wayne.Wallace@foo.com,2,2
71,Ann,Spencer,1956-07-18,07 Raven Avenue,,San Rafael,38.068,-122.741,CA,94913,1-(415)446-4752,1-(216)477-7575,,,Pharmacist,2012-06-26,1-(704)599-0619,Ann.Spencer@foo.com,1,5
72,Jacqueline,Lynch,1950-12-26,870 Vidon Way,,Terre Haute,39.5327,-87.3255,IN,47805,1-(812)703-5310,1-(407)255-7322,,,Geologist III,2007-11-25,1-(216)331-3490,Jacqueline.Lynch@foo.com,2,5
73,Joan,Hayes,1972-04-26,938 Monterey Lane,,Austin,30.3264,-97.7713,TX,78778,1-(512)108-4919,,,,Software Consultant,2014-11-28,1-(520)483-9394,Joan.Hayes@foo.com,5,4
74,Cheryl,Dunn,1978-03-16,58396 Golf Junction,,Olympia,47.1042,-122.87,WA,98506,1-(360)632-3372,1-(919)536-0280,,,Internal Auditor,2011-10-21,1-(585)580-1109,Cheryl.Dunn@foo.com,4,5
75,Catherine,Schmidt,1989-11-29,019 Farragut Center,,Migrate,38.0638,-84.5027,KY,41905,1-(502)213-2765,1-(260)111-1858,,,Director of Sales,2008-09-26,1-(813)709-8350,Catherine.Schmidt@foo.com,5,3
76,Christina,Bailey,1965-05-06,6 Brickson Park Road,,San Francisco,37.7441,-122.4863,CA,94116,1-(415)621-1338,,,,Senior Sales Associate,2007-06-21,1-(626)819-9644,Christina.Bailey@foo.com,4,2
77,Juan,Reid,1990-12-07,806 Chive Junction,Apt. A,Pompano Beach,26.2785,-80.1157,FL,33064,1-(561)864-3645,1-(775)138-6190,,,Web Developer II,2009-07-10,1-(503)118-0098,Juan.Reid@foo.com,1,4
78,Cynthia,James,1988-11-13,974 Sunnyside Avenue,,Raleigh,35.7977,-78.6253,NC,27635,1-(919)451-1846,1-(415)621-2254,,,Geologist II,2007-10-27,1-(530)335-7107,Cynthia.James@foo.com,4,2
79,Donald,Schmidt,1992-12-12,3 Donald Drive,,Memphis,35.1334,-90.0046,TN,38104,1-(901)291-1105,1-(813)676-1783,,,Web Developer I,2007-06-27,1-(713)734-6680,Donald.Schmidt@foo.com,1,4
80,Joshua,Stevens,1966-03-05,203 Onsgard Junction,,San Diego,32.8891,-117.1005,CA,92145,1-(619)169-8762,1-(801)617-3636,,jstevens27@spotify.com,Human Resources Manager,2012-09-23,1-(317)222-5616,Joshua.Stevens@foo.com,1,5
81,Gary,Nichols,1973-12-08,6 Mandrake Hill,,Oklahoma City,35.5704,-97.5257,OK,73114,1-(405)801-9191,1-(646)316-3808,,,Operator,2006-09-26,1-(321)908-7074,Gary.Nichols@foo.com,4,5
82,Jack,Dunn,1957-10-27,37141 Southridge Terrace,#3,Newark,40.7107,-74.2131,NJ,07112,1-(973)998-8372,1-(405)604-8750,,,Payment Adjustment Coordinator,2007-10-08,1-(619)641-5635,Jack.Dunn@foo.com,4,2
83,Julie,White,1964-07-11,6 Continental Road,,Jackson,32.3386,-90.1708,MS,39216,1-(601)677-6747,,,,Programmer Analyst II,2014-05-16,1-(518)206-4407,Julie.White@foo.com,3,3
84,Martin,Harvey,1981-01-03,3 Warrior Alley,,Baton Rouge,30.3633,-91.0919,LA,70810,1-(225)825-3345,,,,Director of Sales,2007-08-31,1-(305)611-0700,Martin.Harvey@foo.com,3,4
85,Daniel,Williams,1955-07-20,63795 Dakota Pass,,Des Moines,41.6727,-93.5722,IA,50981,1-(515)417-8685,1-(406)768-0568,,,Marketing Assistant,2010-11-26,1-(760)831-0517,Daniel.Williams@foo.com,4,4
86,Albert,Fisher,1969-06-06,026 Westerfield Circle,,Stamford,41.3089,-73.3637,CT,06912,1-(203)180-2114,1-(717)814-7827,,afisher2d@lulu.com,Software Test Engineer II,2013-07-28,1-(617)865-6877,Albert.Fisher@foo.com,3,5
87,Ronald,Alexander,1969-01-09,7366 Ilene Terrace,,Jackson,32.3113,-90.3972,MS,39236,1-(601)887-2740,1-(585)846-2596,,,Food Chemist,2015-04-23,1-(215)470-1877,Ronald.Alexander@foo.com,5,3
88,Billy,Thompson,1956-06-24,9163 Oak Valley Road,,Miami,25.5584,-80.4582,FL,33245,1-(786)304-5553,1-(202)286-2992,,,Senior Quality Engineer,2012-04-15,1-(423)711-0934,Billy.Thompson@foo.com,4,4
89,Betty,Shaw,1977-12-20,0617 Kenwood Point,,Macon,32.8067,-83.6913,GA,31205,1-(478)465-9366,1-(920)467-3416,,,Research Assistant II,2015-09-15,1-(215)959-7607,Betty.Shaw@foo.com,5,2
90,Beverly,Banks,1963-06-01,12068 Lerdahl Avenue,,Oxnard,34.0324,-119.1343,CA,93034,1-(805)140-3352,1-(502)811-7485,,,Database Administrator IV,2015-02-28,1-(914)689-0860,Beverly.Banks@foo.com,2,2
91,Carlos,Cunningham,1978-10-05,015 Dennis Road,,Saint Augustine,29.9475,-81.5264,FL,32092,1-(904)395-2871,,,,Analog Circuit Design manager,2014-12-25,1-(859)394-6770,Carlos.Cunningham@foo.com,1,1
92,Ernest,Reyes,1990-05-08,72 Fallview Trail,#3,Tampa,27.872,-82.4388,FL,33673,1-(813)204-1894,1-(985)573-5364,,,Cost Accountant,2010-09-13,1-(574)438-5754,Ernest.Reyes@foo.com,3,4
93,Denise,Day,1968-11-10,21195 Eagle Crest Way,,Bronx,40.8247,-73.894,NY,10459,1-(718)282-1084,1-(508)299-3438,,,Database Administrator IV,2012-01-24,1-(505)633-7846,Denise.Day@foo.com,5,3
94,Stephanie,Smith,1989-10-16,3107 Manitowish Crossing,,Jamaica,40.6914,-73.8061,NY,11480,1-(917)990-5141,1-(517)378-9344,,,VP Marketing,2010-01-16,1-(773)923-0178,Stephanie.Smith@foo.com,5,1
95,Rebecca,Reynolds,1972-08-23,203 Walton Drive,,Raleigh,35.7977,-78.6253,NC,27658,1-(919)567-2341,1-(408)466-2901,,,Paralegal,2013-12-05,1-(619)967-5387,Rebecca.Reynolds@foo.com,1,5
96,Andrea,Boyd,1970-01-28,261 Barby Drive,#2,Miami,25.5584,-80.4582,FL,33245,1-(786)783-6615,1-(513)219-5250,,,GIS Technical Architect,2006-12-20,1-(605)491-7774,Andrea.Boyd@foo.com,2,4
97,James,Day,1961-08-24,0 Bluejay Avenue,#2,Minneapolis,45.0242,-93.302,MN,55412,1-(651)249-2084,1-(515)400-2664,,,Accounting Assistant I,2010-11-22,1-(402)934-0051,James.Day@foo.com,5,5
98,Jeffrey,Ray,1964-01-21,52 Bluestem Trail,,Washington,38.8933,-77.0146,DC,20215,1-(202)800-9303,1-(651)119-7563,,,Financial Advisor,2013-04-14,1-(314)615-4976,Jeffrey.Ray@foo.com,4,3
99,Denise,Bennett,1985-01-16,184 Northfield Lane,Apt. B,Albuquerque,35.0443,-106.6729,NM,87140,1-(505)121-8778,1-(727)971-0702,,,Cost Accountant,2014-03-05,1-(772)842-7959,Denise.Bennett@foo.com,4,3
100,Raymond,Franklin,1959-06-30,4 Florence Center,Floor 2,Tampa,27.9951,-82.4046,FL,33610,1-(813)314-1763,,,,Research Assistant III,2006-03-28,1-(502)869-7332,Raymond.Franklin@foo.com,3,2
101,Joseph,Ruiz,1985-10-08,521 Oriole Street,,Portland,45.484,-122.5973,OR,97206,1-(503)368-4313,1-(973)567-7777,,,Technical Writer,2014-09-28,1-(614)613-4404,Joseph.Ruiz@foo.com,1,4
102,Sharon,Ruiz,1972-07-21,7374 Anthes Hill,#3,El Paso,31.6948,-106.3,TX,79955,1-(915)544-5700,1-(203)198-5215,,,VP Sales,2009-07-16,1-(970)472-2498,Sharon.Ruiz@foo.com,1,1
103,Louis,Nguyen,1977-04-15,589 Sycamore Park,,Charleston,38.4142,-81.7582,WV,25313,1-(304)202-3234,1-(937)914-2324,,,Data Coordiator,2011-03-12,1-(318)829-1923,Louis.Nguyen@foo.com,4,5
104,Elizabeth,Stone,1963-07-24,92 Armistice Alley,Apt. A,Akron,41.1002,-81.6443,OH,44321,1-(330)119-5219,1-(415)220-7211,,,Structural Analysis Engineer,2008-05-19,1-(720)713-8095,Elizabeth.Stone@foo.com,1,2
105,Shirley,Kennedy,1957-03-15,7892 Pankratz Hill,,Melbourne,28.3067,-80.6862,FL,32919,1-(321)841-0888,1-(406)554-1407,,,Marketing Manager,2007-07-12,1-(570)230-9076,Shirley.Kennedy@foo.com,4,3
106,John,Mitchell,1976-07-27,99 Sunnyside Hill,Apt. A,Tampa,28.0081,-82.5805,FL,33615,1-(813)768-9660,1-(314)589-9999,,,Graphic Designer,2011-06-26,1-(206)951-7059,John.Mitchell@foo.com,1,4
107,Lisa,Burns,1990-04-26,0 Lillian Alley,,Wichita,37.5422,-97.2871,KS,67236,1-(316)221-0859,1-(260)543-5915,1-(408)680-8614,,Product Engineer,2006-03-19,1-(859)773-4600,Lisa.Burns@foo.com,4,3
108,Beverly,Butler,1955-03-30,99 Corscot Place,,Southfield,42.4981,-83.2058,MI,48076,1-(313)929-6562,1-(805)507-8337,,,Environmental Tech,2007-03-06,1-(571)203-6054,Beverly.Butler@foo.com,1,5
109,Denise,Gilbert,1989-07-30,30387 Dottie Terrace,,Phoenix,33.6299,-112.1316,AZ,85053,1-(602)583-8787,1-(304)764-6076,,,Staff Accountant I,2015-05-25,1-(818)500-0725,Denise.Gilbert@foo.com,3,5
110,Rose,Brown,1986-12-29,2352 6th Parkway,,Seattle,47.4441,-122.3249,WA,98148,1-(206)766-6269,1-(214)528-3140,,,Data Coordiator,2009-04-05,1-(832)669-3026,Rose.Brown@foo.com,5,5
111,Teresa,Hernandez,1986-02-05,99999 Pine View Road,,San Jose,37.3729,-121.856,CA,95133,1-(408)509-4773,1-(818)679-9252,,,Safety Technician IV,2011-04-27,1-(561)737-0243,Teresa.Hernandez@foo.com,5,5
112,Marie,Pierce,1960-12-17,36349 Onsgard Junction,Apt. C,Colorado Springs,38.8247,-104.562,CO,80935,1-(719)437-8699,1-(503)997-4821,,,Teacher,2014-07-24,1-(256)978-2946,Marie.Pierce@foo.com,4,5
113,Eric,Fisher,1969-05-23,83 Mockingbird Parkway,,Long Beach,33.7678,-118.1994,CA,90831,1-(562)465-3032,1-(573)193-2977,,,Staff Scientist,2007-02-27,1-(203)384-0112,Eric.Fisher@foo.com,4,2
114,Earl,Garza,1969-04-27,0 Arkansas Way,Apt. B,Phoenix,33.2765,-112.1872,AZ,85030,1-(602)744-4717,,,,Research Nurse,2013-01-14,1-(205)832-1545,Earl.Garza@foo.com,1,4
115,Harry,Peterson,1954-02-26,1 Homewood Plaza,,Tallahassee,30.4494,-84.291,FL,32399,1-(850)144-5219,,,,Systems Administrator I,2008-07-23,1-(785)104-6413,Harry.Peterson@foo.com,1,2
116,Steven,Wheeler,1984-09-03,56 Luster Alley,,Buffalo,42.8441,-78.8182,NY,14220,1-(716)948-8864,,,,Financial Analyst,2012-12-31,1-(714)801-3496,Steven.Wheeler@foo.com,3,2
117,Brian,Andrews,1951-04-28,2301 Becker Parkway,,Washington,38.8933,-77.0146,DC,20591,1-(202)983-4467,1-(513)307-0469,,,Statistician III,2011-06-21,1-(412)558-4196,Brian.Andrews@foo.com,5,3
